,skill,cluster
3632,perform pathology consultations,4
3633,prevent money laundering in gambling,5
3634,manage closed-circuit television system,5
3635,stimulate performers' imagination,23
3636,microelectromechanical systems,9
3637,tend confectionery manufacturing equipment,6
3638,protective measures related to swimming pool chemicals,1
3639,manage treatment for HIV affected patients,12
3640,apply credit risk policy,8
3641,cope with challenging circumstances in the fishery sector,3
3642,community-led local development,1
3643,set commercial strategies in vehicle showroom,14
3644,conduct forensic evaluations,2
3645,lay concrete slabs,7
3646,protect workpiece components from processing,9
3647,landscape architectural instruments,7
3648,use technical equipment for sterilisation,9
3649,supervise sound production,23
3650,repair power tools,9
3651,proxy servers,1
3652,build community relations,13
3653,monitor mine costs,8
3654,types of insurance,14
3655,install electric switches,6
3656,hand out flyers,13
3657,mount stones in jewels,24
3658,smoothen rough jewel parts,11
3659,supervise fruit production teams,10
3660,handle poultry,0
3661,criminology,2
3662,water skiing,0
3663,introduce new employees,3
3664,measure oil tank temperatures,9
3665,maintain responsive design,3
3666,escort pedestrians across streets,0
3667,LDAP,4
3668,urogynaecology,4
3669,identify archaeological finds,8
3670,automated sprinkler bulbs,1
3671,sell weight loss products,15
3672,provide advice on pilot licence application procedures,8
3673,create brand guidelines,3
3674,apply permanent make-up,16
3675,control suction booms,9
3676,provide animal related information for legal proceedings,0
3677,fuel distribution systems,17
3678,develop visual elements,7
3679,advise on social security benefits,5
3680,MDX,13
3681,train staff about product features,11
3682,occultism,4
3683,operate plasma cutting torch,16
3684,use equine dental equipment,20
3685,ensure safety of mobile electrical systems,17
3686,maintain cores,9
3687,operate grinding hand tools,9
3688,be a role model in community arts,1
3689,operate bale presses,22
3690,vojta therapy,12
3691,provide individual exercise programmes,0
3692,international commercial transactions rules,14
3693,civil aviation regulations,14
3694,apply isopropyl alcohol ,1
3695,inspect raw food materials,24
3696,give out grants,1
3697,vessel stability principles,3
3698,locate fossils,8
3699,electron beam welding machine parts,2
3700,cook dairy products,21
3701,record jewel processing time,8
3702,make barrel heads,2
3703,cut slabs,7
3704,mortgage loans,8
3705,ensure visual quality of the set,2
3706,adjust solutions' consistency,11
3707,write Basque,18
3708,identify blockchain innovation opportunities,17
3709,estimate damage,14
3710,calculate design costs,19
3711,evaluate cultural venue programmes,18
3712,maintain vehicle electrical equipment,17
3713,store design layout,2
3714,create enamels,24
3715,keep records of animal inseminations,13
3716,journalism,5
3717,build a network of  suppliers in tourism,6
3718,advise on mine equipment,13
3719,inspire enthusiasm for dance,23
3720,collaborate with technical experts on artworks,2
3721,treat facial hair,3
3722,advise customers on smart homes technology,16
3723,assess environmental impact,10
3724,leather colour chemistry,11
3725,adjust rotogravure press,22
3726,direct inward dialing,7
3727,operate tumble dryer,9
3728,plan a recording,8
3729,install laminate floor,24
3730,develop manufacturing recipes,15
3731,interact verbally in Bengali,18
3732,set up drilling rigs,2
3733,supervise sales activities,16
3734,manage gambling hospitality,5
3735,use production planning software,6
3736,adjust voltage,1
3737,coordinate humanitarian aid missions,1
3738,advertise the gallery,7
3739,set up water pump,1
3740,set up equipment for food production,15
3741,teach fashion to clients,16
3742,animal breeding programmes,0
3743,study communications channels for different employers/contractors,5
3744,engage with offenders,2
3745,report touristic facts,19
3746,implement a virtual private network,5
3747,tend bar drawing machine,6
3748,support cultural diversity,18
3749,manufacture male suits,4
3750,provide feedback to performers,23
3751,perform copywriting,8
3752,battery fluids,17
3753,organisational policies,1
3754,restock toilet facilities' supplies,11
3755,use venepuncture procedure equipment,12
3756,assess felled timber volume,6
3757,edge banding,11
3758,Irish,18
3759,drip candles,16
3760,apply military aviation regulations,14
3761,good manufacturing practices,6
3762,operate hooves trimming tools,20
3763,teach medical laboratory technology principles,9
3764,install electronic communication equipment,17
3765,prescribe tests for physiotherapy,12
3766,perform health assessment autonomously,12
3767,trade sector policies,14
3768,transfer liquid goods,14
3769,maintain finishing units,1
3770,use doctor blade,24
3771,implement care programmes for children,1
3772,coordinate timber sales,6
3773,innovate in footwear and leather goods industry,3
3774,monitor processing environment conditions,1
3775,develop long-term treatment course for disorders in the glandular system,12
3776,perform reconstructive oral surgery,12
3777,understand written Serbian,18
3778,climatology,4
3779,write Berber,18
3780,GDPR,2
3781,local geography,0
3782,assess chiropractic intervention,12
3783,administer appointments,1
3784,fishing gear,3
3785,maintain plants' growth,10
3786,English,13
3787,Persian,18
3788,influence of adjuvant treatment on radiotherapy,12
3789,prepare containers for beverage fermentation,22
3790,conduct video telemetry,7
3791,immerse gemstones in chemical liquid,24
3792,assess others feelings,3
3793,maintain landscape site,7
3794,inspect crane equipment,6
3795,operate radio navigation instruments,20
3796,follow work procedures,3
3797,blockchain design patterns,17
3798,counsel patient on family concerns,2
3799,French,18
3800,remove parts of fish,3
3801,photograph crime scenes,2
3802,biophysics,4
3803,improve customer interaction,16
3804,implement evaluation methods in music therapy,23
3805,evaluate coffee characteristics,15
3806,prepare surface for hardwood floor laying,16
3807,develop design ideas cooperatively,13
3808,emission standards,10
3809,evaluate outdoor activities,1
3810,label blood samples,13
3811,use mechanically separated meat,15
3812,health care system,12
3813,dietary regimes,15
3814,collaborate in company's daily operations ,13
3815,maintain silk worm breeding room,11
3816,conduct continuing professional development workshops,3
3817,apply advanced driving techniques,14
3818,perform liquid penetrant tests,9
3819,provide directions in music therapy sessions,23
3820,monitor tank thermometer,9
3821,teach windsurfing,21
3822,perform detailed food processing operations,15
3823,evaluate engine performance,2
3824,interact with healthcare users,12
3825,manage resources,17
3826,apply psychological intervention strategies,3
3827,clean glass surfaces,24
3828,plan marketing strategy,2
3829,cover a variety of health conditions,15
3830,seal flooring,16
3831,provide humanitarian aid,1
3832,types of toilets,11
3833,optical components,7
3834,archive scientific documentation,8
3835,test semiconductors,9
3836,Java (computer programming),2
3837,social alliances,13
3838,remove old caulking,7
3839,maintain records of financial transactions,8
3840,JavaScript,17
3841,evaluate the psychological impact of hearing problems,23
3842,advise on acquisitions,4
3843,teach dance,23
3844,LAMS,24
3845,maintain event records,19
3846,carry out evacuation of airport in an emergency,0
3847,cut insulation material to size,24
3848,establish waste collection routes,10
3849,develop investigation strategy,20
3850,prepare sophrology session,12
3851,care for juvenile animals,1
3852,build a strategic marketing plan for destination management,4
3853,biomechanics,6
3854,risk assessment for window cleaning,11
3855,construction legal systems,7
3856,operate in a specific field of nursing care,12
3857,phytotherapy,5
3858,use photographic equipment,13
3859,study artistic techniques,7
3860,prepare visual data,7
3861,clothing and footwear products,3
3862,labour market,3
3863,protect wilderness areas,10
3864,monitor powdered ingredients,1
3865,clear accident site,14
3866,install lift controller,6
3867,consider social impact of actions on service users,3
3868,determine quality of engraving,2
3869,propose projects to artist,7
3870,types of pulp,11
3871,paediatric psychology,21
3872,develop environmental remediation strategies,10
3873,microbiology-bacteriology,9
3874,cope with stress,12
3875,Turkish,18
3876,pallets loading,11
3877,set up light board,16
3878,store performance equipment,19
3879,keep up-to-date to computer trends,2
3880,monitor storage space,19
3881,move rigging equipment,6
3882,implement quality management systems,1
3883,keep up with trends,2
3884,develop components separation processes,6
3885,manage test drives,8
3886,marketing mix,4
3887,check dangerous goods transport unit,14
3888,maintain edged hand tools,11
3889,footwear bottoms pre-assembly,3
3890,report on window damage,6
3891,design smart grids ,17
3892,provide professional care in nursing,12
3893,patents,14
3894,research new cooking methods,15
3895,trim excess material,11
3896,interact verbally in Dutch,18
3897,prepare fuel station reports,17
3898,match product moulds,21
3899,follow ethical code of conduct,3
3900,internal auditing,8
3901,animate 3D organic forms,7
3902,building information modelling,17
3903,sizes of paper,11
3904,maintain blocking notes,2
3905,airport environmental regulations,14
3906,follow an ethical code of conduct for translation activities,18
3907,judge sport performances,23
3908,transportation sector policies,19
3909,polish dental prostheses,20
3910,follow up accounts receivables,4
3911,write Arabic,18
3912,aviation standards and recommended practices,14
3913,use experience map,2
3914,advise on preparation of diet food,15
3915,interact with programmer on intention of consultancy work,3
3916,clean fish cage,3
3917,anticipate transport demand,14
3918,assess the colour curing of tobacco leaves,15
3919,formulate game rules,0
3920,set management priorities in pipeline networks,2
3921,protect personal data and privacy,14
3922,maintain farm equipment,10
3923,supervise deposit slips,8
3924,e-procurement,3
3925,provide power distribution,17
3926,understand written Montenegrin,18
3927,assist forest survey crew,3
3928,manage major incidents,14
3929,plan resource allocation,19
3930,assess environmental parameters at the workplace for food products,15
3931,web strategy assessment,17
3932,"set health, hygiene, safety and security standards",0
3933,ensure accurate engravings,2
3934,obstetrics and gynaecology,13
3935,interact verbally in Irish,18
3936,interrogate individuals,2
3937,manage trauma through surgical means,12
3938,operate metal polishing equipment,24
3939,arrange parent teacher meeting,23
3940,keep written records of cargo,8
3941,plan weapon use on stage,23
3942,develop procurement strategy,6
3943,spelling,13
3944,psychological concepts,3
3945,rack wines,22
3946,patient safety theories,0
3947,design strategies for nuclear emergencies,20
3948,organise project meetings,23
3949,identify risks in aquaculture facilities,3
3950,maintain pipe deck,2
3951,monitor geotechnical structures,2
3952,manage performance light quality,16
3953,use shorthand computer program,13
3954,casino game rules,5
3955,support social service users in skills management,1
3956,control open-fire kettles,21
3957,prepare dairy products for use in a dish,21
3958,sell tyres,20
3959,analyse the context of an organisation,19
3960,focus stage lights,23
3961,design stained glass,11
3962,design information system,2
3963,plan animal breeding programmes,0
3964,maintain recycling records,10
3965,install windshields,6
3966,train staff to reduce food waste,10
3967,spatial planning,2
3968,provide neuromusculoskeletal therapy,12
3969,carry out treatment prescribed by doctors,12
3970,export control principles,14
3971,assist children with homework,3
3972,organise technical operating information for vehicles,14
3973,liaise with transportation companies,19
3974,adapt costumes,16
3975,biofilter systems,9
3976,restrict access to crime scene,2
3977,control financial resources,19
3978,computer graphics,7
3979,dismantle concrete pumps,6
3980,measure pH,2
3981,assemble batteries,17
3982,handle working animals,0
3983,mobile operating systems,5
3984,design utility equipment,13
3985,lay terrazzo divider strips,11
3986,undertake procedures to meet UAV flight requirements,14
3987,ICT system programming,5
3988,human psychological development,3
3989,scoop capsules,12
3990,create sculpture prototype,7
3991,assist in will writing,2
3992,communicate with construction crews,0
3993,use geographic information systems,0
3994,improvise,23
3995,manage health promotion activities,15
3996,traffic engineering,2
3997,prepare mixed beverages,22
3998,maintain moulds,21
3999,Norwegian,18
4000,set up tote board,7
4001,operate grinding machine,9
4002,repair alarm system,2
4003,promote virtual reality travelling experiences ,4
4004,anthropology,8
4005,control aquatic production environment,3
4006,tuning techniques,3
4007,fermentation processes of food,22
4008,perform software recovery testing,11
4009,operate gas turbines,17
4010,planning principles for music therapy interventions,23
4011,history of literature,4
4012,act discreetly,3
4013,undertake clinical chiropractic research,12
4014,identify cause of nutritional imbalance,15
4015,understand spoken Croatian,18
4016,kinanthropometry,12
4017,supervise movement of crew,3
4018,autism,12
4019,perform sight translation,18
4020,diagnose rheumatic diseases,4
4021,design medical supportive devices,4
4022,pin parquet,11
4023,manipulate plastic,9
4024,assess financial viability,19
4025,accept own accountability,19
4026,cost management,19
4027,system backup best practice,8
4028,microscopic techniques,9
4029,remove air bubbles from fibreglass,11
4030,levels of software testing,8
4031,insert wick,2
4032,model electrical system,17
4033,inspect clocks,6
4034,apply organisational techniques,19
4035,use obstetric sonography,21
4036,IBM Informix,4
4037,games rules,0
4038,perform oil clarification with boiling methods,21
4039,repair prostheses,20
4040,write specifications,3
4041,maintain museum records,19
4042,inspect manufacture of rolling stock,6
4043,visit suppliers,6
4044,flue-cure tobacco,15
4045,spot other climbers,2
4046,maintain optical equipment,7
4047,show social competences,3
4048,support managers,12
4049,market analysis,4
4050,assist visitors,0
4051,test cigars,15
4052,marker making,2
4053,assemble visitor supplies,11
4054,manage facilities services,19
4055,liaise with advertising agencies,13
4056,Luxembourgish,18
4057,conduct research on speech-related topics,13
4058,operate tower crane,6
4059,safe work practices in a veterinary setting,0
4060,integrate marketing strategies with the global strategy,4
4061,adhere to standards of national and international safety programmes,0
4062,Catalan,18
4063,create set models,13
4064,sword fighting,0
4065,carry out practical tasks with smart devices,17
4066,output electronic files,11
4067,present during live broadcasts,5
4068,drive firetruck under emergency conditions,0
4069,use chemical analysis equipment,1
4070,older adults' needs,12
4071,perform antepartum fetal monitoring,21
4072,supervise maintenance of sport facilities,0
4073,working environment,3
4074,write Bulgarian,18
4075,understand written Romani,18
4076,prepress processes,22
4077,deinking processes,1
4078,inspect government expenditures,8
4079,breed geese,0
4080,advise client on technical possibilities,16
4081,monitor amusement park safety,19
4082,advise customers on crafts,2
4083,establish collaborative relations,13
4084,replace sawing blade on machine,24
4085,document sharing procedures,8
4086,mechatronics,6
4087,conduct research on flora,10
4088,characteristics of plants,10
4089,"study the relationship between buildings, people and the environment",7
4090,research welding techniques,2
4091,assess customers,16
4092,follow code of ethics for biomedical practices,3
4093,manage tanning operations,16
4094,computer simulation,13
4095,evaluate budgets,19
4096,set-up weft knitting machines,11
4097,work in outdoor conditions,3
4098,manage factory operations,1
4099,supervise correctional procedures,20
4100,patient record storage,12
4101,OWASP ZAP,13
4102,inspect freight,14
4103,first aid,12
4104,advise on aquaculture products supply chain,3
4105,balance tyres,20
4106,repair sailing equipment,6
4107,interact verbally in Macedonian,18
4108,livestock species,10
4109,bridge engineering,0
4110,airport planning,14
4111,safe street sweeping procedures in traffic,11
4112,advise on animal welfare,0
4113,advise on crop diseases,10
4114,calculate insurance rate,19
4115,monitor financial accounts,8
4116,zoonotic diseases,0
4117,write an architectural brief,2
4118,hazardous freight regulations,14
4119,replace knives,24
4120,honey extractors types,9
4121,operate centrifuges,16
4122,monitor tunnel boring machine supplies,6
4123,cut metal products,9
4124,cadastral taxation,2
4125,control of expenses,19
4126,provide mentorship,1
4127,design a solar heating system,1
4128,decorate furniture,2
4129,advise on bridge inspection,0
4130,plasma torches,16
4131,assess the patient's therapeutic needs,20
4132,provide an enriching environment for animals,8
4133,create an artistic performance,7
4134,cooperate with education professionals,3
4135,information governance compliance,13
4136,interpret 3D plans,2
4137,analyse economic trends,2
4138,unload raw material for animal feed,10
4139,operate concrete pumps,6
4140,writing style guides,2
4141,honey constituents,9
4142,cut carpet,16
4143,write Yiddish,18
4144,neuroscience,12
4145,administer treatments to fish,3
4146,advise policy makers in healthcare,12
4147,operate biological filtration,9
4148,demonstrate professional Pilates attitude,0
4149,investigate complaints about improper waste handling,10
4150,apply credit stress testing methodologies,8
4151,types of drill press oils,2
4152,select restoration activities,8
4153,prepare energy performance contracts,17
4154,consult with technical staff,19
4155,Latin,18
4156,understand the emotional dimension of a performance,3
4157,plan sports instruction programme,0
4158,deliver correspondence,0
4159,geomatics,0
4160,shift energy demands,13
4161,design floor,7
4162,explain interview purposes,13
4163,tend equipment for oil extraction,6
4164,feed raw material into plant machinery,9
4165,store contaminated materials,10
4166,operate paper winding machine,6
4167,determine crane load,6
4168,analyse route possibilities in pipeline projects,2
4169,animal health rules of distribution of products of animal origin,0
4170,manage information access aids,17
4171,identify technological needs,9
4172,repair plumbing systems,2
4173,human-robot collaboration,17
4174,implement inland water transport regulations,1
4175,risks of elevated advertising structures,4
4176,manage standard enterprise resource planning system,19
4177,ensure safe operation of railway during repairs,14
4178,meet deadlines for preparing legal cases,5
4179,carry out navigational calculations,0
4180,search engine optimisation,4
4181,extract materials from furnace,21
4182,clean industrial containers,11
4183,monitor incineration process,10
4184,prepare imposition,22
4185,produce confectionery from chocolate,15
4186,recognise abnormalities on board,4
4187,use color matching techniques,16
4188,order optical supplies,7
4189,define part requirements,6
4190,check ride communications,14
4191,fit dental appliances,20
4192,Agile development,13
4193,create vacuum forming mould,21
4194,hearing aids,23
4195,attend parliament plenaries,5
4196,prepare service trolleys,14
4197,manage casino,5
4198,design weirs,19
4199,digital game genres,5
4200,obtain concert funding,1
4201,position guardrails and toeboards,14
4202,train dental technician staff,20
4203,challenging issues in the textile industry,11
4204,address aircraft mechanical issues,14
4205,create prototype of user experience solutions,7
4206,ensure material compliance,24
4207,install air conditioning device,21
4208,insolvency law,20
4209,manage visitor flows in natural protected areas,10
4210,proofread text,2
4211,peer group methods,13
4212,make farrier tools and supplies,14
4213,support gender equality,4
4214,use interface description language,2
4215,perform street cleaning manually,11
4216,work in multidisciplinary teams related to emergency care,12
4217,hunt animals,0
4218,types of brushes,11
4219,apply health and safety standards,0
4220,negotiate lawyer's fee,16
4221,direct movement experiences,18
4222,security engineering,1
4223,produce materials for decision making,2
4224,massage theory,12
4225,neuropsychiatry,12
4226,manage chemical processes inspection,1
4227,wood preservation,6
4228,operate cubing machine,9
4229,utilise content types,17
4230,advise customers on purchasing furniture appliances,2
4231,develop design concept,2
4232,review trial cases,20
4233,collect real-time geolocation information,0
4234,inspect batches of mixed products,11
4235,reinforce concrete,7
4236,develop with cloud services,1
4237,develop magic show concepts,23
4238,dairy and edible oil products,9
4239,influence of winds and currents in the steering of ships,3
4240,monitor grounds maintenance,8
4241,examine budgets,19
4242,manage cash desk,8
4243,document interviews,8
4244,attend dress fittings,16
4245,musical notation,23
4246,operate liquid soap pumps,6
4247,blueprints,11
4248,prevent domestic accidents,14
4249,leather goods materials,11
4250,monitor the production of eggs,21
4251,provide osteopathic treatment to animals,12
4252,provide manufacturing documentation,8
4253,sterilise working environment,9
4254,distinguish fabrics,11
4255,numerology,2
4256,glass coatings,11
4257,decide upon a psychotherapeutic approach,12
4258,paediatric surgery,21
4259,design geothermal energy systems,21
4260,promote mental health,12
4261,tend flammable mixture machines,2
4262,understand written Hungarian,18
4263,iOS,2
4264,stealth technology,2
4265,incremental development,13
4266,supervise well operations,2
4267,pest management techniques,10
4268,airtight construction,11
4269,monitor well safety,8
4270,electrooptic devices,17
4271,research improvement of crop yields,19
4272,manage truck drivers,14
4273,promote music,23
4274,advise customers on new equipment,16
4275,assist with book events,4
4276,types of storage facilities,19
4277,follow newspaper house style,13
4278,rewrite manuscripts,2
4279,psycholinguistics,12
4280,record healthcare users' billing information,12
4281,industrial research and development,9
4282,assess oil hardness,9
4283,develop instrumentation systems,6
4284,call routing,0
4285,assemble toys,13
4286,analytical methods in biomedical sciences,2
4287,empathise with the woman's family during and after pregnancy,2
4288,preserve samples,8
4289,manage stress in the work place,12
4290,sell telecommunication products,5
4291,types of oaths,1
4292,set up specifications in curing room,1
4293,operate projector,7
4294,safeguard biodiversity,10
4295,follow-up patients with heart attack,12
4296,types of psychotherapy sessions,20
4297,civil process order,1
4298,notate different dances,23
4299,human physiology,5
4300,maintain kitchen equipment at correct temperature,1
4301,apply tile adhesive,24
4302,cook pastry products,15
4303,test nitroglycerin mixture,9
4304,test instrumentation equipment,6
4305,issue licences,8
4306,undertake inspections,1
4307,develop architectural plans,2
4308,forensic intelligence,2
4309,hybrid control systems,3
4310,develop trade policies,14
4311,tend wine manufacturing machines,6
4312,liaise with quality assurance,19
4313,write Javanese,18
4314,apply GMP,19
4315,passenger transport regulations,14
4316,draft bill of materials,2
4317,components of clocks,6
4318,trade future commodities,14
4319,carry out work-related measurements,2
4320,manage vessel deck operations,3
4321,perform clinical coding procedures,12
4322,inspect soap production operating units,9
4323,service rooms,1
4324,manage cloud data and storage,19
4325,electroform,17
4326,Earth science,2
4327,apply good clinical practices,12
4328,follow safety precautions in fishery operations,3
4329,history of hair styles,3
4330,apply electrolytes to cathodes and anodes,17
4331,telecommunication trunking,5
4332,guide lift car installation,6
4333,undertake genetic risk assessment,8
4334,determine skin type,3
4335,advise on fitted ventilation systems,11
4336,design heat pump installations,21
4337,work in a logistics team,14
4338,develop water purification methods,1
4339,allocate bills,19
4340,work independently in agriculture,3
4341,inspect aircraft documentation,8
4342,environmental legislation,10
4343,ensure inspections of facilities,1
4344,maintain oil field machinery,9
4345,manufacture knitted textiles,11
4346,product life-cycle,19
4347,observe freight shipment loaders,14
4348,manage the transportation of animals,0
4349,design yarns,11
4350,record production data for quality control,4
4351,mobile device management,5
4352,supervise brand management,4
4353,manage email hosting service,4
4354,electronic locks,2
4355,manage sales teams,16
4356,Kali Linux,6
4357,develop dried-on-vine raisin production systems,15
4358,temperature scales,21
4359,arrange in-home services for patients,12
4360,PHP,17
4361,preserve crop,10
4362,web programming,17
4363,oversee pre-assembly operations,1
4364,consultation,3
4365,coordinate the procurement of organs for transplantation,12
4366,international regulations for preventing collisions at sea,3
4367,control train arrivals,14
4368,legislation in agriculture,10
4369,prioritise requests,0
4370,software interaction design,2
4371,install solar water heater,1
4372,adjust planer,7
4373,maintain aquaculture ponds,3
4374,apply control process statistical methods,1
4375,palliative care,18
4376,supervise performers' fights,23
4377,sell clothing items to customers,16
4378,respond to electrical power contingencies,17
4379,quote prices,16
4380,repair patterns,6
4381,disassemble engines,13
4382,manage financial and material resources,19
4383,decide on providing funds,19
4384,create animated narratives,4
4385,Schoology,8
4386,collaborate with music librarians,23
4387,prepare road directions,0
4388,prepare legislation proposition,5
4389,manage technical resources stock,19
4390,secure goods ,16
4391,neuroanatomy,12
4392,government policy,1
4393,Hungarian,18
4394,instruct on the use of hearing aids,23
4395,criminal law,20
4396,report on voting process,5
4397,carry out aerial tree rigging,0
4398,carry picking work aids,24
4399,examine ventilation system,11
4400,imprint circuit design onto wafers,9
4401,define technical requirements,3
4402,manage work,3
4403,operate wood sawing equipment,24
4404,report gaming incidents,5
4405,conduct jewellery market research,24
4406,radiotherapy,20
4407,tend grinding mill machine,6
4408,conduct evaluation of quality standards,11
4409,prevent social problems,3
4410,execute email marketing,4
4411,spot welding machine parts,2
4412,geothermal energy systems,21
4413,crane load charts,6
4414,install oven,21
4415,information security strategy,1
4416,tolerate sitting for long periods,12
4417,types of stone for working,24
4418,collect items for laundry service,1
4419,maintain costumes,16
4420,tape transcription,2
4421,repair underground power cables,6
4422,perform online data analysis,2
4423,maintain mine machinery,2
4424,transport drilling rigs,2
4425,assistive technology in education,3
4426,tend compressor engine,6
4427,demolition techniques,11
4428,operate cranes,6
4429,communicate with social service users,5
4430,develop an artistic approach to your interpretation,7
4431,flavour tobacco leaves,15
4432,drive vehicles,14
4433,operate industrial equipment,9
4434,newsletter analysis,13
4435,occupational science,3
4436,develop aquaculture hatchery business plan,3
4437,maintain distillation equipment,9
4438,provide advice on breaches of regulation,14
4439,perform bilateral interpretation,18
4440,protect important clients,16
4441,anger management,12
4442,advise on pest infestation prevention,10
4443,package purchases in bags,19
4444,set up media integration systems,5
4445,write rail defect records,6
4446,operate video equipment,7
4447,license photo usage,7
4448,Adobe Photoshop Lightroom,7
4449,create game testing software,8
4450,participate in technical aspects of the production,6
4451,perform procurement processes,6
4452,plan health and safety procedures,0
4453,design a building management system,7
4454,genetic selection programme,8
4455,think abstractly,3
4456,develop documentation in accordance with legal requirements,8
4457,"textile products, textile semi-finished products and raw materials",11
4458,manage technical security systems,1
4459,audit contractors,8
4460,use ICT ticketing system,0
4461,support the autonomy of young people,3
4462,coordinate waste management procedures,10
4463,carry out auditions,23
4464,battery components,17
4465,execute necessary procedures prior to take off,1
4466,inspect recycling procedures,10
4467,hybrid vehicle architecture,3
4468,prepare reports on sanitation,11
4469,harvest crop,8
4470,concentrate pulp slurry,9
4471,prepare religious services,4
4472,perform pattern grading,8
4473,assist families in crisis situations,18
4474,laboratory techniques,9
4475,optimise financial performance,19
4476,exercise patience,0
4477,issue drilling instructions,2
4478,design database scheme,2
4479,Azerbaijani,18
4480,clean public furniture,24
4481,fine arts,7
4482,reforestation,6
4483,monitor flour unloading equipment,8
4484,types of upsetting machines,9
4485,calculate purchasing levels of raw materials,24
4486,combination of textures,7
4487,support local tourism,19
4488,global standards for sustainability reporting,10
4489,prepare presentation material,5
4490,report well results,8
4491,write Russian,18
4492,ensure regulatory compliance concerning distribution activities,14
4493,supervise medical residents,12
4494,tune bicycles,20
4495,position base plates,7
4496,teach in academic or vocational contexts,3
4497,define organisational standards,4
4498,tend dairy processing machines,6
4499,coordinate educational programmes,3
4500,adapt energy distribution schedules,17
4501,electrical safety regulations,17
4502,ICT infrastructure,5
4503,assess risks of clients' assets,16
4504,ripening of cheese,21
4505,broadcast using Internet Protocol,5
4506,apply reverse engineering,17
4507,teach dentistry,20
4508,fluid mechanics,9
4509,assist in fund management,19
4510,perform ideation activities,3
4511,rehabilitation,12
4512,operate lacquer spray gun,21
4513,work with authors,4
4514,operate farm equipment,10
4515,safely handle metal wire under tension,11
4516,pour terrazzo,11
4517,assemble final product,7
4518,Javanese,18
4519,prioritise emergencies,0
4520,identify innovative concepts in packaging,11
4521,pollution prevention,10
4522,inspect drainage channels,2
4523,teach speed reading,4
4524,manage zoo staff,0
4525,manufacturing of metal containers,9
4526,match vehicles with routes,3
4527,analyse health damaging behaviours,3
4528,apply knowledge of social sciences and humanities,3
4529,paint spraying techniques,7
4530,advise on furniture style,2
4531,bioethics,3
4532,monitor check-out point,8
4533,communicate mathematical information,2
4534,study relevant writing,2
4535,compile cooking recipes,15
4536,manage challenging work conditions during food processing operations,15
4537,operate pasteurisation processes,9
4538,screen printing machines,11
4539,develop plans related to client discharge,11
4540,operate oxy-fuel welding torch,13
4541,micromechanics,6
4542,carry out hatchery production processes,13
4543,carry out social work research,5
4544,forecast production quantities,2
4545,ventilation systems,11
4546,characteristics of precious metals,24
4547,coordinate the sale of game,5
4548,use meteorological information,21
4549,recommend clothing according to customer's measurements,16
4550,write records for repairs,8
4551,troubleshoot cosmetics formula issues,16
4552,provide first aid,12
4553,write calibration report,6
4554,remove photographic film from camera,7
4555,monitor condition of local roads,0
4556,prepare floor for terrazzo,11
4557,eating disorders,12
4558,apply spot welding techniques,2
4559,manage acute oncology patients,12
4560,brand marketing techniques,4
4561,sell tickets,16
4562,observe machine feed,2
4563,teach kindergarten class content,3
4564,hazards associated with loading dangerous goods,14
4565,manage consumables stock,19
4566,ensure conformity to specifications,3
4567,design miniature sets,5
4568,Hebrew,18
4569,select new library items to acquire,8
4570,train religious professionals,18
4571,add slabs to ceramic work,7
4572,hot forging,2
4573,advise customers on maintaining optical products,7
4574,tend packaging machines,6
4575,tend spring making machine,6
4576,types of bedding materials,2
4577,think creatively about food and beverages,15
4578,perform bronchoscopy,4
4579,inspect contracts for related grounds maintenance work,1
4580,demagnetise watches,6
4581,manage ICT semantic integration,5
4582,geographical areas relevant to tourism,19
4583,manage ICT change request process,5
4584,manage buildings' damp problems,7
4585,tend bleacher,6
4586,types of glazing,7
4587,rope manipulation,11
4588,tabulate survey results,2
4589,mining engineering,2
4590,maintain hatchery facilities,13
4591,assess informational needs,3
4592,manage stable,12
4593,create business process models,1
4594,trim excess materials,11
4595,check dining room cleanliness,11
4596,empathise with outdoor groups,1
4597,clean upholstered furniture,24
4598,assess the animal’s rehabilitation requirements,0
4599,produce customised products,11
4600,aquaculture reproduction,3
4601,supervise animal handling for veterinary activities,0
4602,apply wound dressings,12
4603,operate precision measuring equipment,6
4604,use physiotherapy for treatment of animals,0
4605,mini wind power generation,21
4606,develop rubber crumb slurry,11
4607,supervise cage net systems,0
4608,snap chalk line,11
4609,optical engineering,7
4610,cooperate at inter-professional level,13
4611,slaughter fur animals,0
4612,collection management software,8
4613,computer equipment,17
4614,plan schedule,3
4615,dock pig's tail,20
4616,human resource management,3
4617,focus on service,16
4618,understand spoken Punjabi,18
4619,test ICT queries,5
4620,community education,3
4621,comply with railway safety standards,14
4622,create thematic maps,2
4623,provide information on school services,3
4624,operate rollers,6
4625,customise drafts,2
4626,acclimatise timber,6
4627,alkylation,18
4628,cardiology,12
4629,conduct background research for plays,23
4630,inform on workplace safety standards,0
4631,responsible gambling,5
4632,ingredients for ice cream manufacturing,15
4633,implement spam protection,1
4634,use theoretical marketing models,4
4635,prepare promotional materials on nutritition,16
4636,design district heating and cooling energy systems,21
4637,handle children's problems,1
4638,mark a metal workpiece ,2
4639,illegal substances,1
4640,monitor electric generators,17
4641,engage in fencing,0
4642,maintain material handling equipment,13
4643,legal department processes,14
4644,identify customer requirements,16
4645,apply specific manual chiropractic techniques,12
